Register Name;Register Address;Register Offset;Mask Name;Bits;RW;Default;Description
DEVICE_ID;0x00;0x0;DEVICE_ID;2 to 0;R;100;"Loaded from fuses
000 — Devices with ""00"" at the end of the part number, such as ""PF1500""
001 — Future use 010 — Future use 011 — Future use
100 — Devices with ""50"" at the end of the part number, such as ""PF1550""
101 — Future use 110 — Future use 111 — Future use"
DEVICE_ID;0x00;0x0;FAMILY;7 to 3;R;1111;"Identifies PMIC
01111 — 0b0_1111 for ""15"" used to denote the ""PF1550"""
OTP_FLAVOR;0x01;0x0;UNUSED;7 to 0;R;0x00;"Blown by ATE to indicate flavor of OTP used
0x00 — OTP not burned
0x01 — A1
0x02 — A2
0x03 — A3
continues..."
SILICON_REV;0x02;0x0;METAL_LAYER_REV;2 to 0;R;1;Unused
SILICON_REV;0x02;0x0;FULL_LAYER_REV;5 to 3;R;10;Unused
SILICON_REV;0x02;0x0;FAB_FIN;7 to 6;R;0;Unused
INT_CATEGORY;0x06;0x0;CHG_INT;0;R;0;"This bit is set high if any of the charger interrupt status bits are set
0 — No charger interrupt bit is set, cleared, or did not occur
1 — ""OR"" function of all charger interrupt status bit"
INT_CATEGORY;0x06;0x0;SW1_INT;1;R;0;"This bit is set high if any of the Buck 1 interrupt status bits are set
0 — SW1 interrupts cleared or did not occur
1 — Any of the SW1 interrupt status bits are set"
INT_CATEGORY;0x06;0x0;SW2_INT;2;R;0;"This bit is set high if any of the Buck 2 interrupt status bits are set
0 — SW2 interrupts cleared or did not occur
1 — Any of the SW2 interrupt status bits are set"
INT_CATEGORY;0x06;0x0;SW3_INT;3;R;0;"This bit is set high if any of the Buck 3 interrupt status bits are set
0 — SW3 interrupts cleared or did not occur
1 — any of the SW3 interrupt status bits are set"
INT_CATEGORY;0x06;0x0;LDO_INT;4;R;0;"This bit is set high if any of the LDO interrupt status bits are set. This includes LDO1, LDO2, and LDO3.
0 — LDO interrupts cleared or did not occur
1 — Any of the LDO interrupt status bits are set"
INT_CATEGORY;0x06;0x0;ONKEY_INT;5;R;0;"This bit is set high if any of the interrupts associated with ONKEY push-button are set.
0 — ONKEY related interrupts cleared or did not occur
1 — Any of the ONKEY interrupt status bits are set"
INT_CATEGORY;0x06;0x0;TEMP_INT;6;R;0;"This bit is set if any of the interrupts associated with the die temperature monitor are set
0 — PMIC junction temperature related interrupts cleared or did not occur
1 — any of the PMIC junction temperature interrupts status bits are set"
INT_CATEGORY;0x06;0x0;MISC_INT;7;R;0;"This bit is set if interrupts not covered by the above mentioned categories occur
0 — Other interrupts (not covered by categories above) cleared, or did not occur
1 — Status bit of other interrupts (not covered by categories above) is set"
SW_INT_STAT0;0x08;0x0;SW1_LS_I;0;RW1C[1];0;"SW1 low-side current limit interrupt status. This bit is set if the current limit fault persists for longer than the debounce time.  0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
SW_INT_STAT0;0x08;0x0;SW2_LS_I;1;RW1C;0;"SW2 low-side current limit interrupt status. This bit is set if the current limit fault persists for longer than the debounce time.  0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
SW_INT_STAT0;0x08;0x0;SW3_LS_I;2;RW1C;0;"SW3 low-side current limit interrupt status. This bit is set if the current limit fault persists for longer than the debounce time.  0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
SW_INT_STAT0;0x08;0x0;UNUSED;7 to 3;—;—;Unused
SW_INT_MASK0;0x09;0x0;SW1_LS_M;0;RW;1;"SW1 low-side current limit interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is NOT pulled low if corresponding interrupt status bit is set."
SW_INT_MASK0;0x09;0x0;SW2_LS_M;1;RW;1;"SW2 low-side current limit interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is NOT pulled low if corresponding interrupt status bit is set."
SW_INT_MASK0;0x09;0x0;SW3_LS_M;2;RW;1;"SW3 low-side current limit interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is NOT pulled low if corresponding interrupt status bit is set."
SW_INT_MASK0;0x09;0x0;UNUSED;7 to 3;—;—;Unused
SW_INT_SENSE0;0x0A;0x0;SW1_LS_S;0;R;0;"SW1 low-side current limit interrupt sense. Sense is high as long as fault persists (post-debounce).
0 — Fault removed
1 — Fault exists"
SW_INT_SENSE0;0x0A;0x0;SW2_LS_S;1;R;0;"SW2 low-side current limit interrupt sense. Sense is high as long as fault persists (post-debounce).
0 — Fault removed
1 — Fault exists"
SW_INT_SENSE0;0x0A;0x0;SW3_LS_S;2;R;0;"SW3 low-side current limit interrupt sense. Sense is high as long as fault persists (post-debounce)
0 — Fault removed
1 — Fault exists"
SW_INT_SENSE0;0x0A;0x0;UNUSED;7 to 3;—;—;Unused
SW_INT_STAT1;0x0B;0x0;SW1_HS_I;0;RW1C [1];0;"SW1 high-side current limit interrupt
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
SW_INT_STAT1;0x0B;0x0;SW2_HS_I;1;RW1C;0;"SW2 high-side current limit interrupt
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
SW_INT_STAT1;0x0B;0x0;SW3_HS_I;2;RW1C;0;"SW3 high-side current limit interrupt
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
SW_INT_STAT1;0x0B;0x0;UNUSED;7 to 3;—;—;Unused
SW_INT_MASK1;0x0C;0x0;SW1_HS_M;0;RW;1;"SW1 high-side current limit interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is NOT pulled low if corresponding interrupt status bit is set."
SW_INT_MASK1;0x0C;0x0;SW2_HS_M;1;RW;1;"SW2 high-side current limit interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is NOT pulled low if corresponding interrupt status bit is set."
SW_INT_MASK1;0x0C;0x0;SW3_HS_M;2;RW;1;"SW3 high-side current limit interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is NOT pulled low if corresponding interrupt status bit is set."
SW_INT_MASK1;0x0C;0x0;UNUSED;7 to 3;—;—;Unused
SW_INT_SENSE1;0x0D;0x0;SW1_HS_S;0;R;0;"SW1 high-side current limit interrupt sense. This bit should not toggle within a switching cycle (at buck switching frequency), but report the sense status within the switching cycle.
0 — Fault removed
1 — Fault exists"
SW_INT_SENSE1;0x0D;0x0;SW2_HS_S;1;R;0;"SW2 high-side current limit interrupt sense. This bit should not toggle within a switching cycle (at buck switching frequency), but report the sense status within the switching cycle.
0 — Fault removed
1 — Fault exists"
SW_INT_SENSE1;0x0D;0x0;SW3_HS_S;2;R;0;"SW3 high-side current limit interrupt sense. This bit should not toggle within a switching cycle (at buck switching frequency), but report the sense status within the switching cycle.
0 — Fault removed
1 — Fault exists"
SW_INT_SENSE1;0x0D;0x0;UNUSED;7 to 3;—;—;Unused
SW_INT_STAT2;0x0E;0x0;SW1_DVS_DONE_I;0;RW1C[1];0;"Interrupt to indicate SW1 DVS complete. This interrupt should occur every time regulator output voltage is changed (either via I2C within a given state, or if there is change in voltage when transitioning states, Run to Standby, for example).
0 — DVS not complete and/or bit cleared
1 — DVS complete"
SW_INT_STAT2;0x0E;0x0;SW2_DVS_DONE_I;1;RW1C;0;"Interrupt to indicate SW2 DVS complete. This interrupt should occur every time regulator output voltage is changed (either via I2C within a given state, or if there is change in voltage when transitioning states, Run to Standby, for example).
0 — DVS not complete and/or bit cleared
1 — DVS complete"
SW_INT_STAT2;0x0E;0x0;UNUSED;7 to 2;—;—;Unused
SW_INT_MASK2;0x0F;0x0;SW1_DVS_DONE_M;0;RW;1;"Mask for interrupt that indicates SW1 DVS complete
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
SW_INT_MASK2;0x0F;0x0;SW2_DVS_DONE_M;1;RW;1;"Mask for interrupt that indicates SW2 DVS complete
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
SW_INT_MASK2;0x0F;0x0;UNUSED;7 to 2;—;—;Unused
SW_INT_SENSE2;0x10;0x0;SW1_DVS_S;0;R;0;"Indicates DVS in progress for SW1
0 — DVS not in progress
1 — DVS in progress"
SW_INT_SENSE2;0x10;0x0;SW2_DVS_S;1;R;0;"Indicates DVS in progress for SW2
0 — DVS not in progress
1 — DVS in progress"
SW_INT_SENSE2;0x10;0x0;UNUSED;7 to 2;—;—;Unused
LDO_INT_STAT0;0x18;0x0;LDO1_FAULTI;0;RW1C[1];0;"LDO1 current limit interrupt
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
LDO_INT_STAT0;0x18;0x0;LDO2_FAULTI;1;RW1C;0;"LDO2 current limit interrupt
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
LDO_INT_STAT0;0x18;0x0;LDO3_FAULTI;2;RW1C;0;"LDO3 current limit interrupt
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
LDO_INT_STAT0;0x18;0x0;UNUSED;7 to 3;—;—;Unused
LDO_INT_MASK0;0x19;0x0;LDO1_FAULTM;0;RW;1;"LDO1 current limit fault interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
LDO_INT_MASK0;0x19;0x0;LDO2_FAULTM;1;RW;1;"LDO2 current limit fault interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
LDO_INT_MASK0;0x19;0x0;LDO3_FAULTM;2;RW;1;"LDO3 current limit fault interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
LDO_INT_MASK0;0x19;0x0;UNUSED;7 to 3;—;—;Unused
LDO_INT_SENSE0;0x1A;0x0;LDO1_FAULTS;0;R;0;"LDO1 fault interrupt sense
0 — Fault removed
1 — Fault exists"
LDO_INT_SENSE0;0x1A;0x0;LDO2_FAULTS;1;R;0;"LDO2 fault interrupt sense
0 — Fault removed
1 — Fault exists"
LDO_INT_SENSE0;0x1A;0x0;LDO3_FAULTS;2;R;0;"LDO3 fault interrupt sense
0 — Fault removed
1 — Fault exists"
LDO_INT_SENSE0;0x1A;0x0;UNUSED;7 to 3;—;—;Unused
TEMP_INT_STAT0;0x20;0x0;THERM110I;0;RW1C[1];0;"Die temperature crosses 110 °C interrupt. Bidirectional interrupt.
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
TEMP_INT_STAT0;0x20;0x0;UNUSED;1;—;—;Unused
TEMP_INT_STAT0;0x20;0x0;THERM125I;2;RW1C;0;"Die temperature crosses 125 °C interrupt. Bidirectional interrupt.
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
TEMP_INT_STAT0;0x20;0x0;UNUSED;7 to 3;—;—;Unused
TEMP_INT_MASK0;0x21;0x0;THERM110M;0;RW;1;"Die temperature crosses 110 °C interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is NOT pulled low if corresponding interrupt status bit is set."
TEMP_INT_MASK0;0x21;0x0;UNUSED;1;—;—;Unused
TEMP_INT_MASK0;0x21;0x0;THERM125M;2;RW;1;"Die temperature crosses 125 °C interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
TEMP_INT_MASK0;0x21;0x0;UNUSED;7 to 3;—;—;Unused
TEMP_INT_SENSE0;0x22;0x0;THERM110S;0;R;0;"110 °C interrupt sense
0 — Die temperature below 110 °C
1 — Die temperature above 110 °C"
TEMP_INT_SENSE0;0x22;0x0;UNUSED;1;—;—;Unused
TEMP_INT_SENSE0;0x22;0x0;THERM125S;2;R;0;"125 °C interrupt sense
0 — Die temperature below 125 °C
1 — Die temperature above 125 °C"
TEMP_INT_SENSE0;0x22;0x0;UNUSED;7 to 3;—;—;Unused
ONKEY_INT_STAT0;0x24;0x0;ONKEY_PUSHI;0;RW1C [1];0;"Interrupt to indicate a push of the ONKEY button. Goes high after debounce.
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared. Interrupt occurs whenever ONKEY button is pushed low for longer than the falling edge debounce setting.
Interrupt also occurs whenever ONKEY button is released high for longer than the rising edge debounce setting, provided it went past the falling edge debounce time. In other words, this interrupt occurs whenever a change in status of the ONKEY_PUSHS sense bit occurs."
ONKEY_INT_STAT0;0x24;0x0;ONKEY_1SI;1;RW1C;0;"Interrupt after ONKEY pressed for > 1 s
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
ONKEY_INT_STAT0;0x24;0x0;ONKEY_2SI;2;RW1C;0;"Interrupt after ONKEY pressed for > 2 s
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
ONKEY_INT_STAT0;0x24;0x0;ONKEY_3SI;3;RW1C;0;"Interrupt after ONKEY pressed for > 3 s
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
ONKEY_INT_STAT0;0x24;0x0;ONKEY_4SI;4;RW1C;0;"Interrupt after ONKEY pressed for > 4 s
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
ONKEY_INT_STAT0;0x24;0x0;ONKEY_8SI;5;RW1C;0;"Interrupt after ONKEY pressed for > 8 s
0 — Interrupt cleared or did not occur
1 — Interrupt occurred and/or not cleared"
ONKEY_INT_STAT0;0x24;0x0;UNUSED;7 to 6;—;—;Unused
ONKEY_INT_MASK0;0x25;0x0;ONKEY_PUSHM;0;RW;1;"Interrupt mask for ONKEY_PUSH_I
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
ONKEY_INT_MASK0;0x25;0x0;ONKEY_1SM;1;RW;1;"Interrupt mask for ONKEY_1SI
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
ONKEY_INT_MASK0;0x25;0x0;ONKEY_2SM;2;RW;1;"Interrupt mask for ONKEY_2SI
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is NOT pulled low if corresponding interrupt status bit is set."
ONKEY_INT_MASK0;0x25;0x0;ONKEY_3SM;3;RW;1;"Interrupt mask for ONKEY_3SI
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
ONKEY_INT_MASK0;0x25;0x0;ONKEY_4SM;4;RW;1;"Interrupt mask for ONKEY_4SI
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
ONKEY_INT_MASK0;0x25;0x0;ONKEY_8SM;5;RW;1;"Interrupt mask for ONKEY_8SI
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
ONKEY_INT_MASK0;0x25;0x0;UNUSED;7 to 6;—;—;Unused
ONKEY_INT_SENSE0;0x26;0x0;ONKEY_PUSHS;0;R;0;"Push interrupt sense
0 — ONKEY not pushed low. This bit follows debounced version of the ONKEY button being released.
1 — ONKEY pushed low. This follows the ONKEY button after the debounce circuit (debounce is programmable)."
ONKEY_INT_SENSE0;0x26;0x0;ONKEY_1SS;1;R;0;"1 s interrupt sense or cleared after ONKEY button is released 0 — ONKEY not pushed low for >1 s or cleared after ONKEY button is released.
1 — ONKEY pushed and being held low > 1 s. This bit is cleared when ONKEY_PUSHS goes back to 0 when the push-button is released."
ONKEY_INT_SENSE0;0x26;0x0;ONKEY_2SS;2;R;0;"2 s interrupt sense or cleared after ONKEY button is released 0 — ONKEY not pushed low for >1 s or cleared after ONKEY button is released.
1 — ONKEY pushed and being held low > 1 s. This bit is cleared when ONKEY_PUSHS goes back to 0 when the push-button is released."
ONKEY_INT_SENSE0;0x26;0x0;ONKEY_3SS;3;R;0;"3 s interrupt sense or cleared after ONKEY button is released 0 — ONKEY not pushed low for >1 s or cleared after ONKEY button is released
1 — ONKEY pushed and being held low > 1 s. This bit is cleared when ONKEY_PUSHS goes back to 0 when the push-button is released."
ONKEY_INT_SENSE0;0x26;0x0;ONKEY_4SS;4;R;0;"4 s interrupt sense or cleared after ONKEY button is released 0 — ONKEY not pushed low for >1 s or cleared after ONKEY button is released.
1 — ONKEY pushed and being held low > 1 s. This bit is cleared when ONKEY_PUSHS goes back to 0 when the push-button is released."
ONKEY_INT_SENSE0;0x26;0x0;ONKEY_8SS;5;R;0;"8 s interrupt sense or cleared after ONKEY button is released 0 — ONKEY not pushed low for >1 s or cleared after ONKEY button is released.
1 — ONKEY pushed and being held low > 1 s. This bit is cleared when ONKEY_PUSHS goes back to 0 when the push-button is released."
ONKEY_INT_SENSE0;0x26;0x0;UNUSED;7 to 6;—;—;Unused
MISC_INT_STAT0;0x28;0x0;PWRUP_I;0;RW1C[1];0;"Interrupt to indicate completion of transition from STANDBY to RUN and from SLEEP to RUN
0 — Interrupt cleared or has not occurred
1 — Interrupt has occurred"
MISC_INT_STAT0;0x28;0x0;PWRDN_I;1;RW1C;0;"Interrupt to indicate completion of transition from RUN to STANDBY and from RUN to SLEEP
0 — Interrupt cleared or has not occurred
1 — Interrupt has occurred"
MISC_INT_STAT0;0x28;0x0;PWRON_I;2;RW1C;0;"Power on button event interrupt
0 — Interrupt cleared or has not occurred
1 — Interrupt has occurred"
MISC_INT_STAT0;0x28;0x0;LOW_SYS_WARN_I;3;RW1C;0;"LOW_SYS_WARN threshold crossed interrupt
0 — Interrupt cleared or has not occurred
1 — Interrupt has occurred"
MISC_INT_STAT0;0x28;0x0;SYS_OVLO_I;4;RW1C;0;"SYS_OVLO threshold crossed interrupt
0 — Interrupt cleared or has not occurred
1 — Interrupt has occurred"
MISC_INT_STAT0;0x28;0x0;UNUSED;7 to 5;—;—;Unused
MISC_INT_MASK0;0x29;0x0;PWRUP_M;0;RW[1];1;"Mask for Interrupt to indicate completion on transition from STANDBY to RUN and from SLEEP to RUN
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
MISC_INT_MASK0;0x29;0x0;PWRDN_M;1;RW;1;"Mask for Interrupt to indicate completion on transition from RUN to STANDBY and from RUN to SLEEP
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
MISC_INT_MASK0;0x29;0x0;PWRON_M;2;RW;1;"Power on button event interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
MISC_INT_MASK0;0x29;0x0;LOW_SYS_WARN_M;3;RW;1;"LOW_SYS_WARN threshold crossed interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
MISC_INT_MASK0;0x29;0x0;SYS_OVLO_M;4;RW;1;"SYS_OVLO threshold crossed interrupt mask
0 — Mask removed. INTB pin is pulled low if corresponding interrupt status bit is set.
1 — Mask enabled. INTB pin is not pulled low if corresponding interrupt status bit is set."
MISC_INT_MASK0;0x29;0x0;UNUSED;7 to 5;—;—;Unused
MISC_INT_SENSE0;0x2A;0x0;PWRUP_S;0;R;0;"Sense for interrupt to indicate completion on transition from STANDBY to RUN and from SLEEP to RUN
0 — Transition not in progress
1 — Transition in progress"
MISC_INT_SENSE0;0x2A;0x0;PWRDN_S;1;R;0;"Interrupt to indicate completion on transition from RUN to STANDBY and from RUN to SLEEP
0 — Transition not in progress
1 — Transition in progress"
MISC_INT_SENSE0;0x2A;0x0;PWRON_S;2;R;0;"Power on button event interrupt sense
0 — PWRON low
1 — PWRON high"
MISC_INT_SENSE0;0x2A;0x0;LOW_SYS_WARN_S;3;R;0;"LOW_SYS_WARN threshold crossed interrupt sense
0 — SYS > LOW_SYS_WARN
1 — SYS < LOW_SYS_WARN"
MISC_INT_SENSE0;0x2A;0x0;SYS_OVLO_S;4;R;0;"SYS_OVLO threshold crossed interrupt sense
0 — SYS < SYS_OVLO
1 — SYS > SYS_OVLO"
MISC_INT_SENSE0;0x2A;0x0;UNUSED;7 to 5;—;—;Unused
COINCELL_CONTROL;0x30;0x0;VCOIN;3 to 0;RW;0;"Coin cell charger charging voltage
0000 — 1.8 V
0111 — 3.3 V (goes up in 100 mV step per LSB)"
COINCELL_CONTROL;0x30;0x0;COINCHEN;4;RW;0;"Coin cell charger enable
0 — Charger disabled
1 — Charger enabled"
COINCELL_CONTROL;0x30;0x0;UNUSED;7 to 5;—;—;Unused
SW1_VOLT;0x32;0x0;SW1_VOLT;5 to 0;RW1S[1];—;SW1 voltage setting register (Run mode) 000000 — See Table 31 for voltage settings 111111 — See Table 31 for voltage settings Reset condition — POR
SW1_VOLT;0x32;0x0;UNUSED;7 to 5;—;—;Unused
SW1_STBY_VOLT;0x33;0x0;SW1_STBY_VOLT;5 to 0;RW1S[1];—;"SW1 output voltage setting register (Standby mode). The default value here should be identical to SW1_VOLT[5:0] register.
000000 — See Table 31 for voltage settings
111111 — See Table 31 for voltage settings"
SW1_STBY_VOLT;0x33;0x0;UNUSED;7 to 6;—;—;Unused
SW1_SLP_VOLT;0x34;0x0;SW1_SLP_VOLT;5 to 0;RW1S[1];—;"SW1 output voltage setting register (Sleep mode). The default value here should be identical to SW1_VOLT[5:0] register.
000000 — See Table 31 for voltage settings
111111 — See Table 31 for voltage settings"
SW1_SLP_VOLT;0x34;0x0;UNUSED;7 to 6;—;—;Unused
SW1_CTRL;0x35;0x0;SW1_EN;0;RW1S[1];0;"Enables buck regulator. Loaded from OTP based on the sequence settings. User can turn off regulator by clearing this bit. 0 — Regulator disabled in Run mode
1 — Regulator enabled in Run mode"
SW1_CTRL;0x35;0x0;SW1_STBY_EN;1;RW1S;0;"Enables buck regulator in Standby mode. User can turn off regulator by clearing this bit. The default value of this bit should be equal to the SW1_EN bit (based on OTP).
0 — Regulator disabled in Standby mode
1 — Regulator enabled in Standby mode"
SW1_CTRL;0x35;0x0;SW1_OMODE;2;RW[2];0;"Enables buck regulator in Sleep mode. User can turn off regulator by clearing this bit.
0 — Regulator disabled in Sleep mode
1 — Regulator enabled in Sleep mode"
SW1_CTRL;0x35;0x0;SW1_LPWR;3;RW;0;"Enables the buck to enter Low-power mode during Standby and Sleep
0 — Regulator not in Low-power mode
1 — Regulator in Low-power mode during Standby or Sleep modes"
SW1_CTRL;0x35;0x0;SW1_DVSSPEED;4;RW1S;0;"Controls slew rate of DVS transitions. Loaded from OTP and changeable by user after boot up. Not used when OTP_SW1_ DVS_SEL = 1.
0 — DVS rate at 12.5 mV/2 μs
1 — DVS rate at 12.5 mV/4 μs"
SW1_CTRL;0x35;0x0;SW1_FPWM_IN_DVS;5;RW;0;"Enables CCM operation during DVS down
0 — does not force FPWM during DVS
1 — forces regulator to track the DVS reference while it is falling rather than relying on the load current to pull the voltage low"
SW1_CTRL;0x35;0x0;SW1_FPWM;6;RW;0;"Forces buck to go into CCM mode
0 — Not in FPWM mode
1 — Forced in PWM mode irrespective of load current"
SW1_CTRL;0x35;0x0;SW1_RDIS_ENB;7;RW1S;0;"Controls discharge resistor on output when regulator disabled
0 — Enables discharge resistor on output when regulator disabled. Resistor connected at FB pin when regulator disabled to force capacitor discharge.
1 — Disables discharge resistor on output when regulator disabled. Resistor not connected at FB pin when regulator disabled. Relies on leakage/residue load to discharge output capacitor."
